id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2211,2020-01-15,000001,Vente,128700,400,,RUE DE L OUDAR,0590,01170,01173,Gex,01,,,01173000AD0128,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.069571,46.338465
2020-2211,2020-01-15,000001,Vente,128700,400,,RUE DE L OUDAR,0590,01170,01173,Gex,01,,,01173000AD0128,,,2,,6,84.33,,,,,,,2,2,Appartement,64,4,,,,,,6.069571,46.338465
2020-2212,2020-01-15,000001,Vente,463484,,,LE VILLAGE,B070,01170,01153,Échenevex,01,,,01153000AO0166,,,,,,,,,,,,,0,,,,,P,prés,,,226,6.035072,46.309566
2020-2212,2020-01-15,000001,Vente,463484,,,RUE DU STADE,0205,01170,01153,Échenevex,01,,,01153000AO0237,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,359,6.035205,46.30954
2020-2212,2020-01-15,000001,Vente,463484,5683,,RUE DU STADE,0205,01170,01153,Échenevex,01,,,01153000AO0240,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.03518,46.309738
2020-2212,2020-01-15,000001,Vente,463484,5683,,RUE DU STADE,0205,01170,01153,Échenevex,01,,,01153000AO0240,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.03518,46.309738
2020-2212,2020-01-15,000001,Vente,463484,5683,,RUE DU STADE,0205,01170,01153,Échenevex,01,,,01153000AO0240,,,9,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.03518,46.309738
2020-2212,2020-01-15,000001,Vente,463484,,,LE VILLAGE,B070,01170,01153,Échenevex,01,,,01153000AO0241,,,,,,,,,,,,,0,,,,,S,sols,,,10,6.035129,46.309425
2020-2213,2020-01-15,000001,Vente,500000,957,,RUE DES VERTES CAMPAGNES,0755,01170,01173,Gex,01,,,01173000AP0007,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.047156,46.323875
2020-2213,2020-01-15,000001,Vente,500000,957,,RUE DES VERTES CAMPAGNES,0755,01170,01173,Gex,01,,,01173000AP0007,,,192,146.93,,,,,,,,,1,1,Maison,157,7,,,,,,6.047156,46.323875
2020-2214,2020-01-27,000001,Vente,12103,,,LE MARAIS,B157,01500,01004,Ambérieu-en-Bugey,01,,,01004000AC0441,,,,,,,,,,,,,0,,,,,P,prés,,,351,5.332992,45.97393
2020-2214,2020-01-27,000001,Vente,12103,,,LE MARAIS,B157,01500,01004,Ambérieu-en-Bugey,01,,,01004000AC0443,,,,,,,,,,,,,0,,,,,P,prés,,,1378,5.333598,45.973915
